qtable,wrapper,cocoa_temple_completion_rate,cocoa_temple_avg_steps,cocoa_temple_avg_progress,cocoa_temple_avg_velocity,cornfield_crossing_completion_rate,cornfield_crossing_avg_steps,cornfield_crossing_avg_progress,cornfield_crossing_avg_velocity,hacienda_completion_rate,hacienda_avg_steps,hacienda_avg_progress,hacienda_avg_velocity,lighthouse_completion_rate,lighthouse_avg_steps,lighthouse_avg_progress,lighthouse_avg_velocity,scotland_completion_rate,scotland_avg_steps,scotland_avg_progress,scotland_avg_velocity,snowtuxpeak_completion_rate,snowtuxpeak_avg_steps,snowtuxpeak_avg_progress,snowtuxpeak_avg_velocity,zengarden_completion_rate,zengarden_avg_steps,zengarden_avg_progress,zengarden_avg_velocity
fixed_speed_bins_pen0.2_a0.1_sr0.05_dr0.1_tp3_ep500_20250518_034354,discrete,0.0,1000.0,-0.214525271716292,0.0817384521436168,0.0,1000.0,-0.205553650647084,0.0818362598864115,0.0,1000.0,-0.5303074697383119,0.0818689180923835,0.0,1000.0,-0.5878143886060887,0.083157879243774,0.0,1000.0,-0.4756582905228435,0.0824834973667884,0.0,1000.0,-0.709177959418347,0.081809422481522,0.0,1000.0,-0.7643610824745146,0.0817228555679327
qtable_pen0.1_a0.05_s0.05_d0.1_20250517_152502,discrete,0.0,1000.0,0.0854627937655409,0.0817276647148684,0.0,1000.0,0.0013411424251234,0.0817389574936491,0.0,1000.0,0.5711454052201576,0.0849500402585999,0.0,1000.0,0.6151898098436558,0.0819526874604916,0.0,1000.0,0.6689494436259441,0.0820984895140824,0.0,1000.0,0.1452806111076094,10.518935573236751,0.0,1000.0,0.0497835451343642,5.749218357983846
qtable_pen0.2_a0.08_20250517_141306,discrete,0.0,1000.0,0.2695321677308331,10.915555504995108,0.0,1000.0,0.2176094112351823,11.499999816976992,0.0,1000.0,0.0346986453855994,3.694768539737736,0.0,1000.0,0.085902244581705,0.0880246846896249,0.0,1000.0,0.0451669568907953,12.451903921664734,0.0,1000.0,0.0229574621324507,11.958724206759682,0.0,1000.0,0.0394442645796981,12.69332165581087
qtable_stk,discrete,0.0,1000.0,0.0746219604912865,0.0817290908466911,0.0,1000.0,0.0541125679368167,0.0818251470246809,0.0,1000.0,0.5368032879091901,0.0820267263554438,0.0,1000.0,0.4542316048930187,0.0860670840231734,0.0,1000.0,-0.4319655903988863,1.317151169194137,0.0,1000.0,0.3918334611854737,2.6498271400632274,0.0,1000.0,-0.6932717663931901,0.11741026425718
steer_test_pen0.1_a0.05_sr0.05_dr0.1_tp3_ep500_20250518_051131,steer,0.0,1000.0,0.2519355921261769,0.7488975553052629,0.0,1000.0,0.4808078915367653,0.7242316496588113,0.0,1000.0,0.1709661764975186,8.851680306065873,0.0,1000.0,0.1603153231865653,10.8526819403994,0.0,1000.0,0.2352015323944241,0.973106924788016,0.0,1000.0,0.5057978972806695,14.139164349598952,0.0,1000.0,0.7423293992248745,18.325959927297014
steer_test_pen0.2_a0.2_sr0.01_dr0.05_tp3_ep500_20250518_091346,steer,0.0,1000.0,0.349415758655592,9.068385813856686,0.0,1000.0,0.1526791276656779,4.052175909058741,0.0,1000.0,0.2254455603546379,16.0559917764163,0.0,1000.0,0.5424731014593329,2.775707475665845,0.0,1000.0,0.4957094573115808,13.850933105588302,0.0,1000.0,0.042470991143613,10.738621308390492,0.0,1000.0,0.3456460340263766,0.8523781071772856
steer_test_pen0.2_a0.2_sr0.05_dr0.1_tp3_ep500_20250518_061459,steer,0.0,1000.0,0.3366343175120498,13.159180942561726,0.0,1000.0,0.0338864302154757,7.194235249710821,0.0,1000.0,0.033686010296953,0.6308107742361287,0.0,1000.0,0.0125377671358426,7.396396618470829,0.0,1000.0,0.1328374295919188,11.207124882977617,0.0,1000.0,0.5564434865355554,34.06999432704216,0.0,1000.0,0.1259184629251611,9.278891912713398
steer_test_pen1.0_a4.0_sr0.0025_dr0.05_tp3_ep500_20250518_102232,steer,0.0,1000.0,0.2843889041983793,17.983562344393437,0.0,1000.0,0.1520148512030382,11.996962530445964,0.0,1000.0,0.0969464079696742,6.240960674083602,0.0,1000.0,0.3279599840699899,10.522148194553631,0.0,1000.0,0.0760076700111462,4.208378488011126,0.0,1000.0,0.0158802754380921,19.541481820007345,0.0,1000.0,0.073970621515477,0.834027940255209
steer_test_pen8.0_a4.0_sr0.001_dr0.05_tp3_ep500_20250518_112457,steer,0.0,1000.0,0.2122277452531892,11.414841916870603,0.0,1000.0,0.1373566408811816,8.766436494368806,0.0,1000.0,0.1275059973996007,12.991176561834862,0.0,1000.0,0.5831717660064379,11.499999639142676,0.0,1000.0,0.1588645896458823,0.9221036257329612,0.0,1000.0,0.1966427513985589,12.911465226086468,0.0,1000.0,0.2843559540918248,16.09113521914686
